channelName,url,rank
Programming with Mosh,https://www.youtube.com/c/programmingwithmosh/videos,1
Traversy Media,https://www.youtube.com/user/TechGuyWeb,2
Corey Schafer,https://www.youtube.com/user/schafer5,3
Tech With Tim,https://m.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg,4
Krish Naik,https://www.youtube.com/user/krishnaik06/playlists,5
freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,6
Hitesh Choudhary,https://www.youtube.com/c/HiteshChoudharydotcom,7
Clever Programmer,https://m.youtube.com/cleverprogrammer?uid=qrILQNl5Ed9Dz6CGMyvMTQ,8
Caleb Curry,https://www.youtube.com/user/CalebTheVideoMaker2,9
programming Hero,https://www.youtube.com/channel/UCStj-ORBZ7TGK1FwtGAUgbQ,10
naveen Reddy,https://www.youtube.com/c/Telusko,11
Code Basics,https://www.youtube.com/c/codebasics,12
Maximilian Schwarzmüller,https://www.youtube.com/channel/UCSJbGtTlrDami-tDGPUV9-w,13
sentdex,https://www.youtube.com/c/sentdex,14
Michael Reeves,https://www.youtube.com/c/MichaelReeves,15
Dani,https://www.youtube.com/c/DaniDev/featured,16
The Coding Train,https://thecodingtrain.com and https://www.youtube.com/c/TheCodingTrain/videos,17
Dennis Ivy,https://www.youtube.com/c/DennisIvy,18
CS Dojo,https://www.youtube.com/channel/UCxX9wt5FWQUAAz4UrysqK9A,19
Code with Harry,https://m.youtube.com/results?search_query=code+with+harry,20
Kalle Hallden,https://www.youtube.com/channel/UCWr0mx597DnSGLFk1WfvSkQ,21
Fireship,https://m.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,22
Tim Corey,https://www.youtube.com/user/IAmTimCorey,23
TechLead,https://www.youtube.com/channel/UC4xKdmAXFh4ACyhpiQ_3qBw,24
WesBos,https://www.youtube.com/user/wesbos,25
Gajesh S. Naik,https://youtube.com/gajeshsnaik,26
Ben Awad,https://www.youtube.com/c/HusseinNasser-software-engineering,27
Telusko,https://www.youtube.com/c/Telusko,28
Codevolution,https://www.youtube.com/ImranSayedDev,29
Hussein Nasser,https://www.youtube.com/c/HusseinNasser-software-engineering,30
Dev Ed,https://www.youtube.com/channel/UClb90NQQcskPUGDIXsQEz5Q,31
Brackeys,https://www.youtube.com/c/Brackeys,32
Rachit Jain,https://www.youtube.com/c/RachitJain,33
Kyle Cook,https://www.youtube.com/c/WebDevSimplified/playlists,34
Scott Hansellman,https://www.youtube.com/user/shanselman,35
PortEXE,https://www.youtube.com/channel/UCjGQyJCSU_VVMTu5nigonqg,36
Joshua Fluke,https://www.youtube.com/user/Tychos1,37
Web Dev Simplified,https://www.youtube.com/c/WebDevSimplified,38
Joma,https://www.youtube.com/channel/UCV0qA-eDDICsRR9rPcnG7tw,39
Tren Black,https://www.youtube.com/channel/UCSSBvqWNPq_qO3_W4EJiOAA,40
Nick Chapsas,https://www.youtube.com/c/Elfocrash,41
CodingEntrepreneurs,https://www.youtube.com/user/CodingEntrepreneurs,42
Programming With ERik,https://www.youtube.com/channel/UCshZ3rdoCLjDYuTR_RBubzw,43
Forest Knight,https://www.youtube.com/channel/UC2WHjPDvbE6O328n17ZGcfg,44
Keith Galli,https://www.youtube.com/c/Telusko,45
Pretty Printed,https://www.youtube.com/c/PrettyPrintedTutorials,46
Derek Banas,https://www.youtube.com/c/derekbanas,47
The Cherno,https://www.youtube.com/c/TheChernoProject,48
the coding train,https://www.youtube.com/c/TheCodingTrain,49
Angelsix,https://www.youtube.com/c/AngelSix,50
CodingWithMitch,https://www.youtube.com/c/CodingWithMitch,51
Chris Hawkes,https://www.youtube.com/user/noobtoprofessional,52
Chris Coyier,https://www.youtube.com/user/realcsstricks,53
Fazt,https://www.youtube.com/channel/UCX9NJ471o7Wie1DQe94RVIg,54
Prajwal NH ,https://www.youtube.com/channel/UCWym_j-OGCzIfz8K4vXtU6g,55
Life of Luba,https://www.youtube.com/channel/UCgzKCeDYLRzPhQ64R6AKyBQ,56
chuck severance,https://m.youtube.com/user/csev,57
Will Kwan,https://www.youtube.com/channel/UCTjPBE9BNsmv44wgxWEy2zw,58
codingphase,https://www.youtube.com/codingphase,59
Pasja informatyki,https://www.youtube.com/c/Pasjainformatykitutoriale,60
Thomas Kim,https://www.youtube.com/channel/UCpQ9kTWohSlFgXIKJmFc4kA,61
Life Of Boris,https://www.youtube.com/c/LifeofBoris,62
Data School,https://www.youtube.com/dataschool,63
Abhishek Thakur ,https://www.youtube.com/c/AbhishekThakurAbhi,64
gaurav sen,https://www.youtube.com/results?search_query=gaurav+sen,65
Ryan Dhungel,https://www.youtube.com/c/narayandhungel,66
RealTough Candy,https://www.youtube.com/channel/UC54NcJvLCvM2CNaBjd5j6HA,67
Papaya Coders,https://youtube.com/papayacoders,68
Michael Reeves,https://www.youtube.com/c/MichaelReeves,69
durga software solutions,https://www.youtube.com/c/DurgaSoftwareSolutions,70
perfect web solutions,https://youtube.com/perfectwebsolutions,71
